id	cluster	x	y
0	3	12.968178383848036	50.987033657784174
1	16	12.995163157894734	51.07953333333335
2	11	12.379102598813482	51.34108009526146
3	34	12.567746728971962	51.33539532710281
4	4	12.41713542894563	51.3547159790442
5	23	12.79794375	51.06524499999999
6	42	12.981608114459384	50.98501473596916
7	32	13.107196850393692	51.127928346456684
8	1	12.38407487765089	51.408601957585674
9	13	12.454485387131953	51.36357684478358
10	36	12.89956129722023	50.8408156094083
11	2	12.926655436673633	50.83622223382042
12	29	12.958234767025115	50.87022759856632
13	6	12.895571088276506	50.81285847734718
14	7	12.444673103448268	50.716416551724116
15	21	12.24787324840764	51.39622515923566
16	27	12.966455488540428	50.92195669481305
17	9	12.868915261472747	50.8552584845251
18	0	12.342332487987157	51.33407418579859
19	15	12.370413740642388	51.36558794977073
20	22	12.933239058930994	50.814775513933135
21	38	12.303381953124996	51.35152515624998
22	10	12.280599321857075	51.3147804903494
23	25	12.318702438307842	51.32561101645119
24	5	13.045794693877552	50.890891428571415
25	40	12.697928571428571	50.59890000000001
26	47	12.526772549019604	50.81993137254904
27	46	13.356693055555557	50.89263472222223
28	26	13.230426315789474	50.89703157894738
29	37	12.377989762968056	51.32209251116486
30	20	12.833176605504596	50.81295149082561
31	14	12.723084328358212	50.798440298507465
32	49	12.628142647058825	50.77686470588236
33	44	13.039905154639174	50.98575206185565
34	30	12.333521409691622	51.37340511013222
35	45	12.958381697612749	50.81985457559688
36	39	12.814099298245615	50.92220315789476
37	43	12.911510734463274	50.98779774011299
38	8	13.694302752293583	51.07075137614679
39	48	13.30538636363636	51.03570454545454
40	33	13.164142105263158	50.66761578947369
41	18	12.975777295918371	50.76302219387757
42	24	13.114895588235294	50.987478676470595
43	35	12.681551063829783	51.089325531914895
44	17	12.391784816247576	51.29396044487431
45	19	12.410978396436528	51.319954268745335
46	28	12.126888888888889	50.51061111111111
47	41	12.467035918367342	51.308436734693906
48	31	12.413714705882352	51.18834117647058
